iter	RMSE
0	21.19842451
1	20.64163854
2	20.07687867
3	19.65088145
4	19.13986404
5	18.59881215
6	18.14666291
7	17.78776592
8	17.36345121
9	16.99457812
10	16.72239306
11	16.31767568
12	16.05227682
13	15.71756858
14	15.3975896
15	15.1317129
16	14.81133145
17	14.52915863
18	14.25879963
19	13.96464044
20	13.71561477
21	13.47252287
22	13.23035287
23	13.04244116
24	12.85281241
25	12.68698227
26	12.52262514
27	12.31676728
28	12.1381487
29	11.98100385
30	11.82295488
31	11.74000381
32	11.60578217
33	11.49116474
34	11.37457874
35	11.23774371
36	11.09742837
37	10.96315689
38	10.84744497
39	10.76712174
40	10.64954003
41	10.56383962
42	10.4649639
43	10.3840409
44	10.29048838
45	10.19925343
46	10.15147232
47	10.08473721
48	10.01359441
49	9.9507169
50	9.898380905
51	9.842106685
52	9.776494057
53	9.713825734
54	9.642439648
55	9.580622689
56	9.532684545
57	9.47033454
58	9.425944679
59	9.407299222
60	9.35198348
61	9.303749639
62	9.265075768
63	9.202020758
64	9.170013361
65	9.115176925
66	9.080877457
67	9.028458942
68	8.990286061
69	8.957246286
70	8.923612134
71	8.915755086
72	8.866253039
73	8.846446953
74	8.805508918
75	8.776712935
76	8.740136123
77	8.715624426
78	8.691063311
79	8.649312688
80	8.647723481
81	8.619702408
82	8.59301253
83	8.58722595
84	8.573549196
85	8.529660522
86	8.498563367
87	8.480825267
88	8.446668627
89	8.429312231
90	8.420738416
91	8.391491765
92	8.373747302
93	8.354433389
94	8.343603362
95	8.29696026
96	8.27163485
97	8.245166063
98	8.220616102
99	8.21384369
100	8.197704088
101	8.167414832
102	8.146974675
103	8.126486176
104	8.100725704
105	8.079114151
106	8.070289047
107	8.044940165
108	8.028372928
109	7.994440525
110	7.974013146
111	7.973914121
112	7.963365982
113	7.95851195
114	7.956417569
115	7.943267721
116	7.912787869
117	7.906281002
118	7.875958093
119	7.869885352
120	7.846774558
121	7.838698242
122	7.833486828
123	7.808328065
124	7.79078002
125	7.789474242
126	7.776916132
127	7.757013884
128	7.748563971
129	7.746515312
130	7.729507428
131	7.718668497
132	7.715489757
133	7.714323886
134	7.696259325
135	7.681527866
136	7.680924618
137	7.649644632
138	7.639098682
139	7.620837924
140	7.593888756
141	7.580596712
142	7.566689837
143	7.541869585
144	7.540565065
145	7.518819187
146	7.499706251
147	7.480645652
148	7.479051465
149	7.467785661
150	7.459926594
151	7.441563895
152	7.439326369
153	7.419176198
154	7.397630336
155	7.383773734
156	7.363919762
157	7.345580441
158	7.324371554
159	7.298048172
160	7.287298259
161	7.278563356
162	7.266693433
163	7.256990181
164	7.248233783
165	7.244752385
166	7.225894343
167	7.204720435
168	7.204286549
169	7.195997854
170	7.18499792
171	7.168602044
172	7.162534258
173	7.158230035
174	7.136205475
175	7.121911073
176	7.110276254
177	7.104437445
178	7.092551697
179	7.079829023
180	7.067659215
181	7.042053862
182	7.024620014
183	7.015629667
184	7.008846832
185	6.997883978
186	6.988212723
187	6.980485197
188	6.97028753
189	6.95904864
190	6.949722037
191	6.93918071
192	6.928779618
193	6.90927762
194	6.898908586
195	6.898613853
196	6.883126171
197	6.874275903
198	6.859639613
199	6.846071163
200	6.840454179
201	6.830616284
202	6.819705345
203	6.806851188
204	6.802221922
205	6.794657851
206	6.785585013
207	6.766051459
208	6.755275408
209	6.750431388
210	6.746601772
211	6.73852672
212	6.733263874
213	6.725490081
214	6.714486159
215	6.703712327
216	6.68173793
217	6.673881761
218	6.66791907
219	6.660026045
220	6.643763724
221	6.629203163
222	6.620360226
223	6.602786044
224	6.589238227
225	6.588951726
226	6.586986188
227	6.585917368
228	6.571579899
229	6.566094213
230	6.563938537
231	6.560234001
232	6.549141565
233	6.544143411
234	6.538345268
235	6.530997782
236	6.530914366
237	6.524522251
238	6.51742505
239	6.517186748
240	6.505492989
241	6.501247516
242	6.484864844
243	6.477239183
244	6.469948263
245	6.469766968
246	6.463747327
247	6.459105477
248	6.445910449
249	6.440502236
250	6.437146212
251	6.437102027
252	6.427054229
253	6.423377427
254	6.421224276
255	6.418353919
256	6.401991824
257	6.397063841
258	6.394245199
259	6.382794758
260	6.373480493
261	6.364679991
262	6.364199473
263	6.359516426
264	6.359434968
265	6.354984752
266	6.354953906
267	6.348889492
268	6.34506913
269	6.340042536
270	6.339773419
271	6.335604423
272	6.32499566
273	6.319121778
274	6.302926637
275	6.299952709
276	6.294780721
277	6.294603221
278	6.290531343
279	6.286026815
280	6.285488231
281	6.279307326
282	6.270892745
283	6.266485925
284	6.254138
285	6.244026682
286	6.231982461
287	6.227727639
288	6.223891796
289	6.210988585
290	6.207190944
291	6.198423764
292	6.194582316
293	6.188625569
294	6.180978678
295	6.176214548
296	6.167117479
297	6.162546334
298	6.159945386
299	6.150844045
300	6.1458142
301	6.129649418
302	6.123628869
303	6.115621949
304	6.110471942
305	6.101624683
306	6.090168686
307	6.084466676
308	6.077908492
309	6.071836033
310	6.069268097
311	6.065444061
312	6.062766637
313	6.058833336
314	6.054562162
315	6.044024422
316	6.042533977
317	6.039717769
318	6.03398951
319	6.023674799
320	6.021967666
321	6.015242989
322	6.002297182
323	5.984517294
324	5.967034378
325	5.963044357
326	5.9484099
327	5.937247918
328	5.929838761
329	5.927615274
330	5.923969425
331	5.921207623
332	5.915352891
333	5.913310955
334	5.910327352
335	5.904001254
336	5.901946755
337	5.900095741
338	5.893376562
339	5.88843796
340	5.885633987
341	5.879823784
342	5.87677799
343	5.856176342
344	5.831327648
345	5.827261812
346	5.824217034
347	5.820080986
348	5.818001456
349	5.815486443
350	5.813710728
351	5.798312891
352	5.793172158
353	5.776779942
354	5.77397959
355	5.771561423
356	5.768815978
357	5.766863584
358	5.763301916
359	5.758668393
360	5.754885968
361	5.751054218
362	5.736174834
363	5.729708385
364	5.722579257
365	5.721938919
366	5.715195632
367	5.709915198
368	5.70713903
369	5.703563137
370	5.695242219
371	5.690856785
372	5.681644515
373	5.674483043
374	5.670149509
375	5.664749682
376	5.649324944
377	5.643502972
378	5.634405518
379	5.627154036
380	5.625042542
381	5.614351986
382	5.603729653
383	5.60101145
384	5.598010304
385	5.591351589
386	5.587952656
387	5.583614175
388	5.580744095
389	5.580526728
390	5.573169561
391	5.572651156
392	5.566558249
393	5.556621412
394	5.552339149
395	5.544954515
396	5.536544005
397	5.532902653
398	5.53117257
399	5.525812592
400	5.523088097
401	5.512198653
402	5.509594227
403	5.49287068
404	5.487874357
405	5.486130032
406	5.481790915
407	5.469044693
408	5.46851462
409	5.462910286
410	5.459581515
411	5.454845261
412	5.452162045
413	5.449183753
414	5.443490955
415	5.430003295
416	5.406088684
417	5.394794749
418	5.389071893
419	5.386894375
420	5.377148594
421	5.375946548
422	5.372486252
423	5.369290566
424	5.361171922
425	5.359612652
426	5.355306458
427	5.353836658
428	5.351994431
429	5.33825819
430	5.325175483
431	5.320533544
432	5.315074456
433	5.308538259
434	5.297147028
435	5.29685429
436	5.285063687
437	5.278599952
438	5.273668971
439	5.26781734
440	5.267569158
441	5.260094606
442	5.250151532
443	5.244782291
444	5.239784593
445	5.233811104
446	5.22599119
447	5.222866739
448	5.222863946
449	5.216910566
450	5.210731763
451	5.209290924
452	5.207585266
453	5.205290074
454	5.19790566
455	5.191938474
456	5.183586923
457	5.17747947
458	5.172503228
459	5.170523526
460	5.16752641
461	5.164706909
462	5.155217912
463	5.15306392
464	5.15103096
465	5.144606256
466	5.138725474
467	5.128303811
468	5.126124302
469	5.119180355
470	5.112256673
471	5.10976587
472	5.101461582
473	5.097720931
474	5.086595126
475	5.082302243
476	5.082208206
477	5.080461777
478	5.073094513
479	5.072071087
480	5.070454404
481	5.065500593
482	5.056928562
483	5.047040124
484	5.038903564
