iter	Passed	Remaining
0	55	55357
1	57	28504
2	58	19357
3	59	14767
4	61	12166
5	62	10415
6	64	9156
7	65	8120
8	67	7380
9	67	6700
10	68	6129
11	69	5755
12	70	5378
13	71	5051
14	73	4809
15	74	4557
16	75	4382
17	77	4204
18	78	4065
19	80	3931
20	83	3876
21	84	3774
22	87	3697
23	88	3607
24	90	3515
25	91	3429
26	92	3322
27	93	3251
28	95	3202
29	97	3146
30	98	3090
31	99	3003
32	100	2947
33	101	2896
34	103	2857
35	105	2827
36	107	2795
37	108	2758
38	110	2724
39	112	2691
40	113	2659
41	115	2628
42	116	2599
43	120	2612
44	128	2728
45	135	2804
46	138	2816
47	148	2941
48	157	3064
49	161	3066
50	162	3026
51	186	3404
52	191	3420
53	194	3406
54	202	3477
55	205	3460
56	218	3621
57	226	3676
58	228	3650
59	229	3601
60	233	3594
61	243	3679
62	246	3666
63	251	3681
64	253	3643
65	256	3634
66	261	3647
67	266	3654
68	271	3660
69	274	3642
70	276	3621
71	278	3590
72	281	3579
73	283	3542
74	286	3539
75	290	3528
76	294	3526
77	297	3513
78	298	3483
79	301	3467
80	302	3429
81	305	3416
82	309	3414
83	309	3376
84	310	3343
85	314	3337
86	317	3326
87	320	3318
88	322	3304
89	324	3278
90	324	3244
91	330	3257
92	337	3291
93	339	3271
94	340	3242
95	342	3225
96	346	3222
97	349	3213
98	351	3202
99	353	3178
100	356	3177
101	360	3174
102	362	3158
103	364	3142
104	366	3124
105	368	3108
106	370	3090
107	372	3073
108	374	3057
109	375	3038
110	376	3018
111	377	2992
112	378	2972
113	379	2947
114	380	2929
115	382	2917
116	389	2938
117	390	2922
118	392	2906
119	393	2884
120	394	2865
121	396	2850
122	397	2831
123	398	2816
124	400	2800
125	400	2781
126	402	2766
127	404	2752
128	406	2742
129	407	2729
130	409	2716
131	411	2707
132	412	2690
133	414	2678
134	415	2663
135	417	2649
136	418	2636
137	420	2624
138	421	2611
139	423	2598
140	424	2586
141	425	2573
142	427	2562
143	429	2550
144	430	2536
145	431	2524
146	433	2516
147	435	2509
148	436	2495
149	438	2482
150	439	2473
151	441	2462
152	441	2446
153	443	2435
154	444	2424
155	446	2414
156	447	2402
157	449	2394
158	450	2384
159	452	2377
160	454	2367
161	455	2358
162	457	2350
163	459	2342
164	461	2333
165	462	2324
166	465	2319
167	466	2311
168	467	2300
169	469	2291
170	470	2282
171	472	2272
172	473	2262
173	475	2255
174	477	2250
175	479	2247
176	481	2240
177	483	2234
178	486	2229
179	488	2225
180	489	2216
181	492	2211
182	493	2202
183	495	2198
184	497	2192
185	498	2182
186	500	2175
187	502	2171
188	503	2162
189	505	2155
190	507	2147
191	508	2139
192	509	2131
193	511	2125
194	513	2118
195	514	2111
196	516	2106
197	518	2101
198	521	2099
199	523	2093
200	525	2087
201	527	2083
202	529	2077
203	532	2075
204	534	2071
205	535	2065
206	537	2059
207	539	2053
208	541	2047
209	542	2041
210	543	2033
211	545	2027
212	547	2021
213	548	2014
214	550	2008
215	551	2002
216	553	1995
217	554	1989
218	556	1984
219	557	1977
220	560	1975
221	561	1969
222	563	1964
